�����Ͻ�,���޴ɷ�(MW),�������(MW),�ִ뿹������(MW),���޿����(MW),���޿�����(%),������(MW),�������(%)
20260523000000,84710.5,58923.9,59900.0,25786.6,43.7626,10398.3,17.3443
20260523000500,81521.2,58988.0,59900.0,22533.2,38.1996,9085.91,15.1383
20260523001000,81521.9,58808.1,59900.0,22713.8,38.6236,9022.93,15.0785
20260523001500,81518.5,58337.7,59900.0,23180.8,39.7356,9142.32,15.3984
20260523002000,81513.6,58012.0,59900.0,23501.5,40.5115,9267.06,15.6947
20260523002500,81495.9,57933.2,59900.0,23562.7,40.6723,9449.49,16.0247
20260523003000,83042.6,57615.7,59900.0,25427.0,44.132,9546.03,16.276
20260523003500,82702.1,57422.1,59900.0,25279.9,44.0248,9394.43,16.0702
20260523004000,82675.2,57057.8,59900.0,25617.3,44.8972,9693.84,16.6855
20260523004500,82684.2,56748.9,59900.0,25935.3,45.702,9881.79,17.0991
20260523005000,81775.4,56480.7,59900.0,25294.7,44.7847,9639.91,16.7586
20260523005500,81787.6,56352.8,59900.0,25434.9,45.1351,9363.66,16.3139
20260523010000,81757.5,56165.5,59900.0,25592.0,45.5654,9191.94,16.0856
20260523010500,81371.6,55931.8,59900.0,25439.8,45.4837,8995.01,15.8053
20260523011000,81355.5,55810.9,59900.0,25544.6,45.7698,9168.01,16.1441
20260523011500,81360.3,55736.4,59900.0,25623.9,45.9734,9267.19,16.3402
20260523012000,81360.2,55373.6,59900.0,25986.6,46.9295,9587.83,17.0154
20260523012500,81350.8,55320.6,59900.0,26030.1,47.0532,9621.27,17.0904
20260523013000,81321.5,55172.7,59900.0,26148.7,47.3943,9735.34,17.3355
20260523013500,81320.6,55237.2,59900.0,26083.3,47.2205,9318.53,16.5742
20260523014000,81280.2,55053.4,59900.0,26226.8,47.6389,9377.68,16.7367
20260523014500,81278.5,54871.4,59900.0,26407.1,48.1255,9395.36,16.823
20260523015000,81252.5,54586.2,59900.0,26666.4,48.8519,9955.58,17.9167
20260523015500,81254.0,54466.1,59900.0,26787.9,49.1828,10030.4,18.0903
20260523020000,81244.2,54303.3,59900.0,26940.9,49.6118,10096.2,18.2609
20260523020500,81266.0,54271.5,59900.0,26994.5,49.7398,10147.4,18.3641
20260523021000,81280.4,54162.6,59900.0,27117.8,50.0675,10129.2,18.3673
20260523021500,81278.8,54029.3,59900.0,27249.5,50.4347,10175.2,18.4953
20260523022000,81292.0,54040.7,59900.0,27251.3,50.4273,10135.3,18.4178
20260523022500,81304.2,53974.8,59900.0,27329.5,50.6337,10143.7,18.4553
20260523023000,81285.9,53682.1,59900.0,27603.8,51.4209,10356.1,18.9425
20260523023500,81268.3,53906.5,59900.0,27361.9,50.7581,9985.64,18.1905
20260523024000,81234.6,53589.8,59900.0,27644.8,51.5859,10043.0,18.4015
20260523024500,81238.0,53581.3,59900.0,27656.7,51.6163,10114.5,18.5355
20260523025000,81234.1,53426.9,59900.0,27807.2,52.0472,9889.95,18.1755
20260523025500,81233.6,53302.2,59900.0,27931.4,52.4021,9775.72,18.0066
20260523030000,81229.8,53259.0,59900.0,27970.8,52.5186,9800.54,18.0664
20260523030500,80798.1,52895.1,59900.0,27903.0,52.7515,10068.0,18.6847
20260523031000,80784.8,53121.3,59900.0,27663.5,52.0761,9886.72,18.271
20260523031500,80792.4,53276.9,59900.0,27515.6,51.6463,9721.36,17.9139
20260523032000,80794.7,52915.2,59900.0,27879.6,52.6873,10036.4,18.6163
20260523032500,80789.9,53020.3,59900.0,27769.6,52.3753,9976.55,18.4708
20260523033000,80784.2,52684.9,59900.0,28099.2,53.3345,10201.5,19.0064
20260523033500,80793.3,52791.2,59900.0,28002.2,53.0433,9889.97,18.3887
20260523034000,80801.4,52752.8,59900.0,28048.6,53.1698,9893.78,18.4091
20260523034500,80817.0,52661.7,59900.0,28155.3,53.4644,9902.16,18.4559
20260523035000,80827.2,52644.7,59900.0,28182.6,53.5336,9943.66,18.5394
20260523035500,80844.0,52751.3,59900.0,28092.7,53.2549,9605.65,17.8718
20260523040000,80843.7,52654.8,59900.0,28189.0,53.5355,9587.82,17.8731
20260523040500,80371.7,52444.6,59900.0,27927.2,53.2508,9752.37,18.2513
20260523041000,80355.0,52550.9,59900.0,27804.0,52.9087,9673.19,18.0731
20260523041500,80353.6,52473.8,59900.0,27879.8,53.131,9719.82,18.1864
20260523042000,80357.8,52494.3,59900.0,27863.5,53.079,9741.35,18.2213
20260523042500,80361.1,52366.0,59900.0,27995.1,53.4605,9817.71,18.4081
20260523043000,80365.0,52433.3,59900.0,27931.7,53.2709,9769.38,18.2956
20260523043500,80379.6,52442.3,59900.0,27937.3,53.2725,10115.5,18.9407
20260523044000,80386.5,52589.4,59900.0,27797.1,52.8569,10072.5,18.8086
20260523044500,80398.3,52546.1,59900.0,27852.2,53.0053,10217.0,19.0935
20260523045000,80395.8,52401.1,59900.0,27994.7,53.4238,10440.8,19.5651
20260523045500,80397.3,52437.1,59900.0,27960.2,53.3215,10603.3,19.8563
20260523050000,80405.6,52239.4,59900.0,28166.2,53.9175,10728.7,20.1643
20260523050500,80473.9,52240.3,59900.0,28233.6,54.0457,10790.2,20.2794
20260523051000,80482.7,52218.0,59900.0,28264.7,54.1283,10815.4,20.3373
20260523051500,80482.8,52259.4,59900.0,28223.5,54.0065,10803.5,20.2992
20260523052000,80509.7,52345.9,59900.0,28163.8,53.8034,10797.0,20.2536
20260523052500,80508.6,52311.5,59900.0,28197.1,53.9022,10840.1,20.3452
20260523053000,80516.8,52555.6,59900.0,27961.2,53.2031,10772.1,20.1286
20260523053500,80511.2,52520.4,59900.0,27990.8,53.2951,10954.4,20.4795
20260523054000,80502.2,52580.3,59900.0,27921.9,53.1034,10982.0,20.5132
20260523054500,80500.5,52527.0,59900.0,27973.6,53.2556,11004.2,20.5751
20260523055000,80525.3,52426.2,59900.0,28099.1,53.5974,11198.8,20.975
20260523055500,80661.7,52516.4,59900.0,28145.3,53.5935,11441.3,21.3928
20260523060000,80690.2,52635.9,59900.0,28054.3,53.2989,11619.9,21.6787
20260523060500,80689.8,52833.6,59900.0,27856.2,52.7244,11459.5,21.3009
20260523061000,80741.8,52870.2,59900.0,27871.7,52.7172,11538.4,21.4333
20260523061500,80753.0,52666.5,59900.0,28086.6,53.3291,11501.3,21.4461
20260523062000,80793.8,52709.1,59900.0,28084.7,53.2825,11549.8,21.5225
20260523062500,80840.0,52701.5,59900.0,28138.5,53.3922,11555.1,21.5355
20260523063000,80875.8,52874.9,59900.0,28001.0,52.9571,11519.1,21.4016
20260523063500,80925.3,52970.3,59900.0,27955.0,52.775,11532.3,21.3891
20260523064000,80999.3,52633.9,59900.0,28365.4,53.8918,11875.5,22.1641
20260523064500,81076.7,52470.3,59900.0,28606.4,54.5192,12111.9,22.6741
20260523065000,81134.5,52417.9,59900.0,28716.6,54.7841,12206.9,22.872
20260523065500,81209.8,52307.9,59900.0,28902.0,55.2536,12450.8,23.3776
20260523070000,81289.5,52564.1,59900.0,28725.4,54.6484,12249.2,22.8792
20260523070500,81156.0,52844.4,59900.0,28311.6,53.5753,11758.5,21.8473
20260523071000,81221.7,52941.1,59900.0,28280.6,53.4191,11480.9,21.2915
20260523071500,81221.6,52730.1,59900.0,28491.4,54.0325,11355.9,21.1421
20260523072000,81297.5,52694.3,59900.0,28603.2,54.2815,11319.1,21.0894
20260523072500,81322.6,52291.8,59900.0,29030.9,55.5171,11627.0,21.8137
20260523073000,81393.6,52215.5,59900.0,29178.1,55.8801,11574.0,21.7468
20260523073500,81381.4,52180.0,59900.0,29201.4,55.9628,11581.0,21.7856
20260523074000,81432.6,52284.2,59900.0,29148.3,55.7498,11209.0,21.0446
20260523074500,81488.1,52374.1,59900.0,29114.0,55.5886,10480.3,19.6265
20260523075000,81527.6,52451.2,59900.0,29076.4,55.435,9777.03,18.28
20260523075500,81725.6,52521.2,59900.0,29204.4,55.605,9148.41,17.099
20260523080000,81805.3,52479.1,59900.0,29326.2,55.8817,9132.36,17.0778
20260523080500,81086.9,52580.4,59900.0,28506.6,54.2153,8858.87,16.5342
